"Net generation for petroleum liquids"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=4&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&columnchart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&map=ELEC.GEN.PEL-US-99.M&freq=M&start=200101&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Mon Sep 28 2020 02:12:35 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"New England : electric power",,"ELEC.GEN.PEL-NEW-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England : electric utility","thousand megawatthours","ELEC.GEN.PEL-NEW-1.M",52,12,45,56,70,69,78,102,26,59,24,11,19,17,23,22,79,44,101,110,81,109,37,196,396,260,172,200,215,215,214,192,144,185,112,241,469,181,87,211,221,116,167,148,129,12,129,233,282,224,16,5,57,39,168,240,60,87,60,161,119,31,2,18,15,9,25,34,2,3,3,18,84,152,41,8,3,26,4,13,5,3,2,44,31,10,8,7,4,24,53,11,6,1,4,30,110,16,9,2,1,2,5,9,2,4,17,20,10,8,6,3,5,8,23,16,9,2,6,16,52,20,2,2,1,3,12,7,6,3,9,3,14,1,4,3,2,5,11,4,2,1,4,1,43,34,4,1,3,6,23,3,3,1,5,27,156,39,54,1,0,2,3,2,2,1,1,4,6,154,5,1,1,0,3,4,5,1,2,4,9,4,2,3,3,3,10,8,3,2,5,6,4,3,3,2,8,4,1,3,3,3,2,48,146,2,2,2,3,2,7,6,4,1,9,2,"NM",4,"NM","NM","NM",2,4,"NM",2,3,2,"NM","NM","NM","NM","NM","NM",4,3
"New England : independent power producers","thousand megawatthours","ELEC.GEN.PEL-NEW-94.M",2535,1629,1753,672,1068,1176,930,1682,650,569,675,1010,725,812,913,523,584,452,893,919,807,877,573,913,1516,1490,1030,575,285,684,815,800,283,509,666,1207,2306,1034,943,378,491,531,722,677,411,285,522,984,1618,558,841,505,156,630,850,1076,971,1244,503,1616,322,211,142,186,171,299,490,427,261,395,365,305,661,921,522,234,238,306,274,336,243,224,154,519,323,254,271,139,126,307,268,175,210,125,160,328,671,164,181,28,25,15,31,130,5,15,19,54,21,29,25,10,51,49,238,133,98,29,35,59,134,34,19,5,4,31,83,33,16,6,6,4,42,4,8,3,10,81,53,23,5,11,22,5,217,166,1,11,2,14,96,14,17,5,18,281,1102,243,338,1,3,2,17,28,4,2,7,20,225,1338,43,5,8,-1,42,16,45,5,8,5,34,95,-0,0,14,12,45,52,40,55,164,70,25,30,13,3,21,16,17,17,18,5,22,421,878,-0,7,14,3,38,23,23,3,6,10,1,58,7,8,6,"NM",8,37,13,9,14,15,26,13,8,3,"NM","NM",11,20
"New England : all commercial","thousand megawatthours","ELEC.GEN.PEL-NEW-96.M",19,17,19,18,19,19,19,20,17,18,15,18,20,18,22,17,18,20,26,25,23,18,28,28,24,19,18,8,18,23,28,29,23,20,21,28,49,34,29,29,24,21,27,22,17,12,15,22,34,22,15,10,9,15,23,21,15,14,8,18,11,13,14,10,10,8,11,9,6,6,8,10,9,23,8,3,3,4,2,3,1,1,1,9,9,5,4,4,3,6,10,4,3,3,5,8,32,11,6,7,5,2,3,7,3,4,6,7,7,6,4,4,7,6,13,6,5,4,2,7,16,8,3,2,3,1,4,3,4,3,4,2,5,2,2,3,3,7,6,5,4,5,3,3,12,8,3,3,4,3,6,2,2,4,4,"NM","NM",17,"NM",4,"NM","NM",4,"NM","NM",5,5,5,9,40,5,4,3,3,4,4,4,3,3,3,3,3,1,4,4,3,6,4,2,3,6,4,7,3,5,3,1,1,1,1,2,1,2,12,12,3,4,2,1,1,2,2,1,2,5,2,6,4,3,2,2,"NM",2,7,1,2,2,3,3,2,2,2,1,"NM","NM"
"New England : all industrial","thousand megawatthours","ELEC.GEN.PEL-NEW-97.M",130,103,102,89,89,76,93,105,100,102,106,104,82,74,86,81,70,84,76,72,69,100,101,94,103,88,72,69,60,57,64,60,62,98,74,95,169,76,70,60,65,68,77,74,52,51,66,99,157,80,89,80,69,78,84,88,75,91,65,100,73,71,66,54,56,47,50,51,58,52,59,74,84,80,70,56,33,24,23,22,24,27,27,52,58,49,47,33,28,26,17,14,22,26,19,44,50,34,23,15,13,9,8,7,13,11,6,10,10,6,7,6,10,7,9,7,7,13,13,11,17,12,9,11,5,5,5,3,3,12,3,7,9,4,2,5,4,2,2,3,2,6,3,2,6,5,2,3,4,2,1,1,1,2,2,7,15,10,10,1,2,3,1,1,1,1,3,1,5,24,3,"NM",1,"NM",2,1,1,2,"NM",1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0,1,6,7,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,"NM",1,"NM","NM","NM",2,1,1,"NM","NM","NM",2,"NM","NM","NM"
"Connecticut","thousand megawatthours","ELEC.GEN.PEL-CT-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut : all sectors","thousand megawatthours","ELEC.GEN.PEL-CT-99.M",924,485,805,294,391,449,303,636,152,200,142,393,282,189,300,126,122,93,266,347,240,219,101,53,383,353,238,51,17,112,224,240,35,44,124,242,675,53,92,84,50,126,139,179,69,42,23,206,527,64,244,198,17,276,337,403,286,450,51,302,38,52,48,30,42,103,223,185,99,200,165,95,178,206,187,61,62,85,85,100,70,87,13,176,34,41,89,36,33,79,64,15,10,11,10,93,167,1,11,9,-1,6,22,58,3,1,4,17,9,8,12,6,40,34,124,82,63,-0,5,24,53,8,5,1,1,22,36,20,12,2,5,2,0,1,6,2,8,35,29,14,2,9,4,2,93,66,1,1,1,5,39,7,4,0,3,88,298,86,97,-0,-0,2,4,9,4,1,3,11,12,372,3,7,4,-2,20,7,15,2,-3,2,5,2,-1,1,16,2,16,30,4,-1,2,16,5,3,8,1,1,10,8,7,3,4,1,127,282,-0,-1,0,2,38,8,7,3,-1,2,-1,18,6,6,"NM","NM","NM",8,5,"NM","NM",6,7,"NM","NM","NM","NM","NM","NM",10
"Connecticut : electric power",,"ELEC.GEN.PEL-CT-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut : electric utility","thousand megawatthours","ELEC.GEN.PEL-CT-1.M",1,1,1,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,1,5,0,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,"NM","NM",1,1,1,0,"NM",0,"NM",0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,"NM","NM","NM",0,"NM",0,1,0,1,1,1,0,0,"NM","NM",1,0,0,"NM"
"Connecticut : independent power producers","thousand megawatthours","ELEC.GEN.PEL-CT-94.M",920,482,800,290,386,444,297,627,146,196,138,388,280,187,297,124,120,91,263,344,238,217,98,50,375,345,231,45,11,104,216,229,28,38,118,234,626,49,86,78,46,117,129,166,63,40,21,186,512,58,236,193,15,266,324,387,274,439,46,287,32,47,43,26,39,100,219,182,96,197,161,89,172,202,186,60,61,84,84,100,70,86,13,173,31,40,89,36,33,78,63,14,10,11,10,88,162,-1,10,9,-1,6,22,57,3,1,4,17,8,8,11,6,39,34,124,82,63,-0,5,24,49,7,4,0,1,21,35,20,12,1,5,1,-0,1,6,2,8,33,27,13,2,8,3,1,90,63,0,1,1,5,38,7,3,0,3,86,287,82,92,-0,-0,2,4,9,3,1,2,10,11,351,2,6,4,-3,19,7,14,1,-3,2,5,1,-1,1,14,2,14,27,4,-1,2,14,5,3,6,1,1,9,8,7,2,4,1,122,277,-1,-2,-0,2,37,8,6,2,-1,1,-1,15,4,"NM","NM","NM","NM",7,5,"NM","NM","NM",6,"NM","NM","NM","NM","NM","NM",10
