"Net generation for petroleum liquids"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=4&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&columnchart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&map=ELEC.GEN.PEL-US-99.M&freq=M&start=200101&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Mon Sep 28 2020 02:12:35 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"Illinois : electric power",,"ELEC.GEN.PEL-IL-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois : electric utility","thousand megawatthours","ELEC.GEN.PEL-IL-1.M",5,5,4,20,12,11,12,13,4,4,4,6,2,2,1,2,5,3,4,4,3,4,2,4,5,3,4,3,4,5,4,8,4,3,3,3,6,2,3,2,2,2,2,3,2,2,2,2,9,3,3,3,3,4,5,5,4,2,3,9,3,2,1,2,2,2,4,2,2,2,2,4,2,3,1,2,1,1,1,-3,3,5,7,1,1,1,1,1,1,1,1,1,1,2,1,1,4,-1,4,3,2,3,1,2,1,5,2,2,3,2,2,2,2,2,3,2,2,2,1,2,5,2,1,1,2,2,3,1,2,2,3,4,3,3,1,1,2,2,2,1,2,2,2,2,3,1,2,2,4,3,2,2,2,2,2,2,3,2,2,1,4,3,2,2,3,1,3,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,"NM","NM","NM","NM",1,1,1,"NM",1,1,1,0,1,"NM",0,"NM",0,1,"NM"
"Illinois : independent power producers","thousand megawatthours","ELEC.GEN.PEL-IL-94.M",10,73,168,232,13,224,338,209,103,2,6,9,33,5,8,15,7,10,38,18,28,12,6,8,213,258,163,77,8,43,69,174,5,6,7,46,169,146,117,67,7,51,7,20,6,6,7,9,11,8,7,19,11,22,25,28,9,10,11,8,7,4,2,5,5,7,19,12,7,6,5,7,6,13,9,9,8,8,8,10,8,9,7,11,15,13,11,11,12,9,7,11,11,8,12,11,9,4,9,8,6,9,8,8,6,6,6,5,6,6,8,7,7,9,6,10,7,6,7,6,6,3,5,3,6,6,5,3,4,5,4,6,3,4,3,5,3,4,4,4,3,4,7,3,5,3,3,3,7,4,5,4,3,3,4,2,5,7,8,5,4,3,4,6,4,3,4,4,4,4,3,4,3,5,3,4,6,3,4,6,7,8,5,5,7,4,4,4,3,3,4,5,5,4,5,4,5,3,2,3,3,3,2,4,3,2,4,4,4,3,3,5,3,5,4,4,3,3,3,3,3,3,2,3,3,4,2,2,2,2,1,-4,2,3,3
"Illinois : all commercial","thousand megawatthours","ELEC.GEN.PEL-IL-96.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM","NM","NM","NM","NM","NM",0,"NM","NM",0,0,"NM","NM",0,"NM","NM","NM","NM",0
"Illinois : all industrial","thousand megawatthours","ELEC.GEN.PEL-IL-97.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indiana","thousand megawatthours","ELEC.GEN.PEL-IN-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana : all sectors","thousand megawatthours","ELEC.GEN.PEL-IN-99.M",36,27,24,34,26,23,24,26,24,26,28,28,25,26,38,34,40,30,19,14,13,14,37,24,31,27,35,20,17,14,13,12,16,13,11,15,27,14,13,18,17,13,11,13,9,10,12,13,27,9,8,12,19,10,13,14,10,10,13,16,8,15,10,7,11,12,15,11,25,13,9,10,12,13,12,11,21,13,12,18,11,16,13,19,17,15,23,14,18,19,10,12,10,11,15,14,13,11,10,15,16,11,12,11,11,10,13,14,10,12,16,16,14,12,17,14,12,8,10,13,21,11,13,17,15,17,17,10,8,12,15,15,8,11,11,6,11,11,13,7,8,10,9,9,14,8,12,10,14,14,9,13,11,11,10,14,19,18,10,15,15,13,13,12,9,11,16,12,14,23,14,10,16,20,11,11,10,10,9,11,12,10,11,11,11,9,11,8,7,6,8,11,9,7,6,12,13,13,8,8,8,13,15,13,17,7,11,6,13,11,10,14,10,11,14,6,11,9,15,7,10,19,9,8,10,11,9,7,12,8,10,4,7,10,15
"Indiana : electric power",,"ELEC.GEN.PEL-IN-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana : electric utility","thousand megawatthours","ELEC.GEN.PEL-IN-1.M",25,16,13,22,19,14,14,16,14,17,18,16,11,10,18,18,24,19,12,11,9,13,12,10,21,15,24,14,16,12,12,11,15,13,10,13,16,11,11,16,15,11,9,11,8,10,11,10,24,8,7,10,18,10,12,12,8,9,12,15,6,13,9,7,11,11,13,10,24,13,8,9,11,12,10,9,19,11,10,17,10,15,12,18,16,14,22,13,17,18,9,11,9,10,14,11,11,8,9,13,16,10,11,11,9,9,13,11,10,11,16,15,14,11,12,13,11,7,9,9,18,9,12,16,14,16,16,8,8,12,14,14,7,11,10,5,10,11,13,6,7,9,9,8,13,8,11,9,13,13,9,12,10,10,9,14,16,17,9,14,14,12,12,11,9,10,15,10,12,22,13,8,14,19,10,9,9,9,7,9,11,9,10,9,10,8,10,7,6,5,7,9,8,6,6,12,12,12,7,6,8,11,11,8,13,5,10,5,11,10,9,12,9,9,12,5,10,8,14,7,10,18,9,7,10,11,8,6,12,8,10,4,7,10,14
"Indiana : independent power producers","thousand megawatthours","ELEC.GEN.PEL-IN-94.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indiana : all commercial","thousand megawatthours","ELEC.GEN.PEL-IN-96.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM",0,0,0,0,0,0,0,0,0,0,0,0,0
"Indiana : all industrial","thousand megawatthours","ELEC.GEN.PEL-IN-97.M",10,10,10,11,7,8,10,9,10,9,10,12,13,15,20,15,15,11,6,3,4,1,24,13,9,12,11,6,1,1,0,0,0,0,0,2,11,3,2,1,2,2,2,2,1,1,1,3,2,1,1,1,1,0,1,1,1,1,1,1,1,2,1,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,2,1,2,0,1,1,0,1,0,0,3,1,0,0,1,0,2,5,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,3,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,3,3,2,1,1,1,2,1,2,2,1,2,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"Michigan","thousand megawatthours","ELEC.GEN.PEL-MI-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan : all sectors","thousand megawatthours","ELEC.GEN.PEL-MI-99.M",67,12,42,20,48,131,150,133,43,37,29,37,50,62,78,97,64,129,185,131,80,67,26,100,111,126,60,38,34,76,78,217,29,35,22,52,132,95,38,53,62,101,125,55,25,13,23,20,121,19,21,28,37,153,97,126,59,49,16,77,30,13,16,19,40,19,65,46,12,15,17,19,15,79,26,15,41,38,38,85,39,53,10,19,18,22,37,15,22,54,31,22,21,9,16,20,24,11,17,17,27,31,18,21,12,17,10,12,15,12,14,14,30,21,16,19,15,8,10,19,13,8,10,35,17,19,22,19,8,12,7,9,8,8,7,25,15,12,13,10,7,13,10,9,13,8,6,9,18,18,10,9,11,8,8,12,16,15,10,9,10,12,8,12,8,8,22,10,7,8,9,13,11,9,11,12,8,6,6,8,10,8,9,8,19,12,13,10,8,6,9,8,7,4,5,6,9,9,9,18,13,9,8,13,7,7,16,12,10,8,13,10,11,8,7,8,9,6,8,7,7,10,11,11,10,8,5,6,5,2,7,3,9,9,13
"Michigan : electric power",,"ELEC.GEN.PEL-MI-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan : electric utility","thousand megawatthours","ELEC.GEN.PEL-MI-1.M",59,11,41,20,47,130,148,132,41,35,25,35,49,59,77,97,64,127,184,130,79,66,26,99,110,125,60,36,33,75,78,216,26,34,16,49,127,91,34,51,62,99,124,54,25,11,20,16,118,17,19,28,36,152,96,125,58,46,14,74,27,10,12,18,36,15,64,41,9,13,13,15,11,73,21,13,38,36,34,82,38,51,8,17,15,20,33,13,19,52,29,21,20,7,14,17,22,10,15,14,26,28,14,19,11,16,9,11,14,10,13,12,29,20,14,16,13,8,9,18,13,7,10,35,15,19,21,19,8,11,6,9,8,8,7,24,15,12,13,9,7,12,10,9,12,7,6,9,17,18,9,9,11,7,8,12,16,13,10,9,9,12,8,12,8,8,22,9,7,7,9,13,11,8,11,12,8,6,6,7,10,8,9,8,19,11,13,10,7,6,8,8,6,4,4,6,9,8,9,17,13,8,7,13,6,7,15,12,9,7,13,10,10,7,6,8,9,6,7,6,7,10,11,11,10,8,5,6,5,2,7,3,9,9,13
"Michigan : independent power producers","thousand megawatthours","ELEC.GEN.PEL-MI-94.M",7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM",0,"NM","NM","NM","NM","NM","NM",0,0,"NM",0,"NM","NM","NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michigan : all commercial","thousand megawatthours","ELEC.GEN.PEL-MI-96.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"NM","NM","NM",0,0,"NM",0,"NM","NM","NM","NM","NM","NM","NM","NM","NM"
"Michigan : all industrial","thousand megawatthours","ELEC.GEN.PEL-MI-97.M",1,1,1,1,1,1,2,1,2,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,3,4,4,3,1,1,1,1,1,0,2,2,3,3,2,3,0,0,1,1,1,1,2,2,4,3,4,4,2,4,4,1,4,3,2,4,4,4,5,5,2,2,2,4,3,1,2,2,2,2,2,3,1,2,2,2,1,1,1,2,3,2,1,2,2,1,2,2,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NM","NM",1,"NM",0,0,"NM",0,"NM",0,"NM","NM","NM","NM","NM",0,"NM","NM"
"Ohio","thousand megawatthours","ELEC.GEN.PEL-OH-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio : all sectors","thousand megawatthours","ELEC.GEN.PEL-OH-99.M",40,21,38,47,52,31,38,38,27,35,31,21,37,23,43,31,50,28,37,28,33,33,26,19,31,53,38,38,38,31,41,40,26,26,22,25,38,29,35,23,33,28,24,23,30,26,34,30,37,24,29,36,30,28,28,35,31,28,21,34,22,22,21,16,40,26,25,35,25,24,26,26,26,30,24,26,24,32,25,20,18,27,22,39,27,16,26,19,18,32,26,27,22,24,21,31,26,23,21,13,35,27,18,20,18,18,18,25,30,19,24,18,39,32,27,28,22,14,18,27,42,25,23,28,28,37,24,23,14,18,27,26,39,14,16,15,14,13,30,23,17,22,24,32,20,18,17,9,21,23,33,16,23,11,19,17,77,38,37,20,20,24,16,24,10,11,14,17,22,17,19,10,21,23,25,15,11,12,17,29,16,16,17,13,22,19,18,18,12,12,23,30,17,13,18,13,19,20,18,15,14,13,28,17,27,15,16,19,25,16,13,15,18,16,20,19,13,15,14,16,13,20,12,9,12,7,22,11,10,10,8,9,8,11,17
"Ohio : electric power",,"ELEC.GEN.PEL-OH-98.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio : electric utility","thousand megawatthours","ELEC.GEN.PEL-OH-1.M",39,19,37,46,51,31,37,36,27,34,30,20,37,23,43,31,50,28,35,27,32,33,25,18,28,49,36,37,37,29,40,39,24,24,22,23,36,26,34,22,27,21,22,20,28,23,32,27,21,19,25,26,23,18,16,23,26,24,16,17,19,18,17,13,37,21,15,24,19,20,21,23,23,19,18,20,15,22,18,14,15,23,16,36,23,13,21,16,14,28,21,23,20,20,17,28,21,18,16,9,29,21,12,15,15,13,16,21,23,16,16,14,30,28,22,21,19,12,15,22,39,21,19,25,24,32,19,18,10,12,25,21,34,11,13,12,13,9,24,18,15,18,19,28,15,15,13,6,17,20,25,11,11,11,14,13,11,10,12,14,11,12,9,10,6,5,4,7,9,4,8,0,5,9,10,6,4,3,5,9,7,9,6,5,6,5,5,5,4,3,9,5,5,7,6,5,4,7,5,5,5,5,5,7,8,4,4,4,4,1,1,1,2,2,2,2,"NM",1,"NM",2,7,6,1,1,5,1,1,1,1,1,1,1,2,1,1
"Ohio : independent power producers","thousand megawatthours","ELEC.GEN.PEL-OH-94.M",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,1,2,1,2,0,0,5,7,1,2,1,2,2,2,15,4,4,10,6,9,12,11,4,4,4,17,2,4,3,3,2,4,9,11,5,3,3,2,3,10,5,6,9,9,6,5,3,3,5,2,3,3,4,3,3,5,5,4,2,4,3,4,4,4,4,4,6,5,5,5,3,5,2,4,6,3,8,4,9,4,5,6,3,2,3,4,2,3,4,3,4,5,5,5,4,5,2,5,5,2,3,2,0,4,6,5,2,3,5,4,4,3,4,3,4,3,8,5,11,-0,4,3,65,27,25,6,9,11,7,14,4,5,10,9,12,12,10,9,15,14,15,8,7,8,12,18,8,7,10,8,16,14,12,13,8,8,14,24,11,6,12,8,15,13,12,10,9,8,23,10,18,11,12,15,21,15,11,13,16,13,18,17,12,13,13,13,6,13,11,7,7,5,21,9,8,9,7,8,6,10,16
"Ohio : all commercial","thousand megawatthours","ELEC.GEN.PEL-OH-96.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ohio : all industrial","thousand megawatthours","ELEC.GEN.PEL-OH-97.M",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wisconsin","thousand megawatthours","ELEC.GEN.PEL-WI-99.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
