"Fossil-fuel stocks for electricity generation for coal"
"https://www.eia.gov/electricity/data/browser/#/topic/11?agg=1,0,2&fuel=8&geo=vvg&sec=80o&linechart=ELEC.STOCKS.COL-US-98.M&columnchart=ELEC.STOCKS.COL-US-98.M&map=ELEC.STOCKS.COL-US-98.M&freq=M&start=200801&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin="
"Mon Sep 28 2020 01:55:37 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"West North Central : independent power producers","thousand tons","ELEC.STOCKS.COL-WNC-94.M",0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,1,2,4,5,5,6,4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W",0,0,0,0,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",0,0,0,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Atlantic",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Atlantic : electric power","thousand tons","ELEC.STOCKS.COL-SAT-98.M",26543,24928,25089,26291,26576,24363,21143,20537,20985,24839,26512,26853,26068,27721,32158,36513,39261,39417,38917,39649,41771,43291,44279,40164,35819,33515,35663,38313,38734,35166,31032,28887,"NM",32314,35732,32123,29921,30485,32001,33294,33076,30246,27175,25590,26862,31645,34969,36920,38775,40385,42097,43442,42580,40334,36594,35412,35786,37274,37663,38859,37624,37380,36739,38026,38720,36562,33678,32492,32308,32816,32657,32373,27466,23238,22308,25150,26420,25181,23732,23720,25090,27744,28387,29371,29578,26286,27073,29976,31333,29636,27411,27368,29017,31582,33370,35260,33344,32619,34409,35094,35924,32873,28792,26035,25328,25966,27900,26769,26302,28230,28590,28891,29077,28239,25312,24301,"W",24476,25342,24030,20284,20892,21384,22443,22064,19890,18054,16857,16022,17175,17055,16726,16754,18887,20342,22355,22387,22895,20752,20106,19907,21754,22137,23172,24716,25195,26371,27415,26728,25182,21559
"South Atlantic : electric utility","thousand tons","ELEC.STOCKS.COL-SAT-1.M",23725,22492,22911,23615,23414,21325,18809,18363,18768,21986,23534,24039,23518,24935,28580,32520,34775,34886,34487,35196,36987,38523,39375,36097,32249,30363,32140,34387,34560,31489,28001,26097,26450,28856,31637,28489,26790,27151,28676,29727,29170,26708,24121,22671,23961,28219,31097,33163,34382,35734,37257,38529,38003,36482,33459,32540,32711,34112,34568,35527,34248,34175,33678,34544,34988,33076,30893,29751,29500,29697,29604,29241,25592,21657,20899,23012,24002,22686,21307,21125,22446,24655,25168,26326,26680,24086,24903,27456,28776,27255,25060,24902,26530,28851,30552,32248,30738,30248,31985,32436,32863,30304,26706,24393,23734,24234,25833,24404,23782,25375,25503,25600,25716,25100,22616,21732,"W",21749,22739,21746,18274,18907,19611,20580,20317,18295,16588,15382,14356,15111,14916,14437,14448,16458,17828,19612,19436,19735,17898,17431,17550,19215,19569,20615,22058,22579,23515,24560,23948,22601,19451
"South Atlantic : independent power producers","thousand tons","ELEC.STOCKS.COL-SAT-94.M",2818,2436,2178,2677,3162,3038,2333,2174,2217,2853,2978,2815,2550,2786,3578,3993,4486,4531,4430,4454,4785,4768,4905,4067,"NM",3151,"NM","NM","NM","NM","NM","NM","NM","NM","NM",3634,3131,3334,3325,3568,3906,3538,3053,2919,2901,3425,3872,3757,4393,4651,4841,4913,4578,3852,3135,2872,3075,3162,3095,3331,3377,3206,3061,3482,3732,3486,2785,2741,2808,3120,3053,3132,1875,1581,1408,2138,2418,2495,2425,2596,2644,3089,3219,3045,2898,2199,2169,2521,2557,2380,2351,2466,2487,2731,2818,3012,2606,2371,2424,2658,3062,2569,2086,1642,1595,1732,2067,2364,2519,2855,3087,3291,3362,3139,2696,2569,"W",2727,2603,2284,2009,1984,1773,1863,1747,1594,1466,1475,1666,2064,2138,2289,2305,2429,2513,2743,2951,3160,2854,2674,2357,2539,2569,2557,2658,2616,2856,2855,2779,2580,2108
"East South Central",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East South Central : electric power","thousand tons","ELEC.STOCKS.COL-ESC-98.M",14039,14074,13993,14336,14727,13792,12546,12365,13179,14319,15184,14948,14677,15421,18634,20350,20963,20716,19981,19341,19752,20603,21648,21015,19126,18945,20074,21686,21512,20083,18533,17914,18207,19708,20231,19233,17780,17831,18075,18716,17289,16287,13683,12550,13963,15230,16552,17185,17579,18755,19680,20626,20764,20419,18636,18325,19050,19736,19565,19657,18969,18885,18701,18686,18749,17727,16688,15960,16020,16373,16907,16840,15241,13647,13052,13949,15134,15060,14270,14069,14753,16255,16746,17780,17458,16617,17148,18423,18243,17406,15698,14911,15248,17167,18732,18959,17757,17460,18360,18563,18173,16994,15427,14630,14575,15339,16420,15918,15587,16198,16084,16471,16159,15768,14911,14521,"W",13593,13332,12266,9512,9718,11174,11889,11771,10976,9793,9123,8853,8910,9448,9721,9563,9494,9625,10706,11215,11286,10557,10790,10780,10772,11510,13011,13065,13148,13286,14038,14049,12804,11075
"East South Central : electric utility","thousand tons","ELEC.STOCKS.COL-ESC-1.M",13047,13146,13083,13429,13749,12870,11683,11644,12426,13541,14424,14209,14677,15421,18634,20350,20963,20716,19981,19341,19752,20603,21648,21015,19126,18945,20074,21686,21512,20083,18533,17914,18207,19708,20231,19233,17780,17831,18075,18716,17289,16287,13683,12550,13963,15230,16552,17185,17579,18755,19680,20626,20764,20419,18636,18325,19050,"W",19565,19657,18969,18885,18701,18686,18749,17727,16688,15960,16020,16373,16907,16840,15241,13647,13052,13949,15134,15060,14270,14069,14753,"W","W","W",17458,16617,17148,18423,18243,17406,15698,14911,15248,17167,18732,18959,17757,17460,18360,18563,18173,16994,15427,14630,14575,15339,16420,15918,15587,16198,16084,16471,16159,15768,14911,14521,"W",13593,13332,12266,9512,9718,11174,11889,11771,10976,9793,9123,8853,8910,9448,9721,9563,9494,9625,10706,11215,11286,10557,10790,10780,10772,11510,13011,13065,13148,13286,14038,14049,12804,11075
"East South Central : independent power producers","thousand tons","ELEC.STOCKS.COL-ESC-94.M",992,928,910,906,978,922,863,722,753,778,760,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West South Central",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West South Central : electric power","thousand tons","ELEC.STOCKS.COL-WSC-98.M",23914,24658,25863,27220,27649,26102,25074,23753,24099,25440,25999,25843,25524,26956,28907,30158,31503,30707,29991,29133,29291,28952,29017,27857,27480,26511,27306,30049,30801,28789,27315,25257,25537,27558,28599,28070,27176,26542,27128,28015,28985,26329,22769,20289,20030,21787,23972,22910,25439,26861,28567,30761,31257,30347,28697,26995,26487,27094,28196,28807,28778,28709,28493,28936,29913,28587,26870,25243,24091,24627,25412,23375,22967,21161,20422,21123,20730,19743,17883,16603,15860,17818,19741,22419,24692,25998,27187,28878,28857,26408,25295,24546,25756,28334,31670,34018,34163,34536,35106,34401,32198,29316,26832,24707,23434,23550,26098,24799,23952,25034,25839,26304,25536,23652,21827,20311,"W",19427,20350,19583,18903,17560,19366,20052,19253,17497,15494,14139,13924,14225,13277,13146,14337,15685,15296,16589,15732,15170,14898,14891,14730,15899,17225,18248,20417,22505,23121,23928,24936,24994,23217
"West South Central : electric utility","thousand tons","ELEC.STOCKS.COL-WSC-1.M",14560,15176,16668,17762,17983,17052,16780,15874,16028,17049,17356,16900,16475,17162,18065,18699,19402,18684,17949,17316,17125,16944,16841,16278,16517,15622,16040,16251,16910,15885,15081,14158,14266,15969,16633,16856,16190,16040,16418,17250,17636,16299,14192,12798,12777,13584,14530,15125,16146,17180,18510,19293,19029,18257,17378,16363,16008,16257,16638,17047,17017,17024,17072,17446,17640,16745,15669,14815,14088,14005,14220,13676,13585,12501,12116,12509,12022,11016,9763,8936,8907,9837,11218,12257,13992,15081,16136,17068,16985,15926,15564,15618,16342,17778,19988,21483,21356,21558,21739,21092,19979,18976,17790,16564,15745,16102,17552,16279,15517,15719,15631,15696,15081,14266,13409,12681,"W",13050,13770,14040,14327,12962,14255,14513,13988,12866,11538,10774,10451,10699,9972,9738,10409,11394,11081,12104,11678,11397,11265,11209,10777,11660,12269,12865,14111,15674,16049,16466,16922,16768,15580
"West South Central : independent power producers","thousand tons","ELEC.STOCKS.COL-WSC-94.M",9354,9482,9196,9458,9666,9050,8294,7879,8071,8391,8643,8943,9049,9794,10842,11459,12101,12023,12042,11816,12166,12008,12177,11580,10963,10889,11265,13798,13891,12904,12234,11100,11272,11589,11966,11215,10986,10502,10710,10765,11349,10030,8578,7492,7254,8203,9442,7785,9293,9681,10057,11468,12228,12091,11319,10633,10478,10837,11558,11760,11761,11685,11421,11491,12273,11842,11201,10428,10004,10622,11193,9700,9382,8659,8305,8614,8708,8727,8120,7666,6952,7980,8524,10162,10701,10917,11051,11810,11871,10482,9731,8928,9414,10556,11681,12535,12807,12978,13367,13310,12219,10340,9042,8143,7689,7448,8547,8520,8434,9315,10208,10608,10456,9386,8417,7630,"W",6377,6580,5543,4575,4598,5110,5539,5265,4630,3956,3365,3472,3526,3306,3407,3928,4291,4215,4485,4054,3773,3633,3682,3953,4238,4955,5383,6306,6831,7072,7462,8014,8226,7636
"Mountain",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mountain : electric power","thousand tons","ELEC.STOCKS.COL-MTN-98.M",14290,13550,14565,15780,15598,15980,15836,15309,15189,15668,16155,15837,15972,16436,16911,18389,18945,19923,20167,20362,21197,21492,22004,"W",19975,19861,19906,19796,19059,19444,18510,17798,17876,18118,17695,17620,17282,17104,18173,19270,19908,20419,19672,19157,19021,19280,19214,18543,18425,18473,18875,19756,20411,20241,20136,20549,20754,21218,21467,20385,19818,19972,19633,19843,19469,18796,18249,17746,17022,17059,16726,15732,15303,14394,14831,15786,15670,15516,14971,14444,14257,14988,15495,16387,16343,17124,18108,19366,19744,19716,19558,19296,19879,20672,21784,20737,19661,20857,20640,21374,21774,21574,20558,20588,20990,21290,22063,20144,19446,19643,20418,21331,21449,21205,20159,20188,"W",19608,19318,18782,18205,18175,18835,19679,19839,19773,18780,18158,17013,16824,16500,15671,15469,15087,15003,15907,17021,17139,17238,16784,16277,16588,16754,16937,17116,17307,18073,19334,19813,19994,18806
"Mountain : electric utility","thousand tons","ELEC.STOCKS.COL-MTN-1.M",13618,12823,13878,14993,14783,15314,15126,14548,14356,14683,15204,14883,14931,15355,16022,17550,18247,19227,19481,19633,20511,20771,21253,20150,19346,19237,19256,19141,18408,18613,17758,16947,"NM",17283,16898,16842,16557,"W",17425,"W",18921,19353,18628,17977,17843,18186,18090,"W","W","W","W","W","W",19086,18921,19345,19612,20048,20289,"W",18704,18832,18535,18685,"W","W","W","W",15822,15868,15601,"W","W","W","W",14664,14511,14312,13760,13261,13081,13777,14335,"W","W","W","W",18211,18594,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Mountain : independent power producers","thousand tons","ELEC.STOCKS.COL-MTN-94.M",672,727,687,786,816,666,710,762,833,985,951,955,1041,1081,889,839,698,696,685,730,686,721,751,785,629,"NM",651,"NM",651,831,752,851,"NM",835,797,778,726,"W",748,"W",988,1066,1043,1180,1178,1094,1124,"W","W","W","W","W","W",1155,1215,1204,1142,1170,1178,"W",1114,1140,1099,1157,"W","W","W","W",1200,1191,1124,"W","W","W","W",1122,1159,1204,1211,1183,1176,1211,1160,"W","W","W","W",1155,1150,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Pacific Contiguous",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous : electric power","thousand tons","ELEC.STOCKS.COL-PCC-98.M","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",2332,2173,2025,2114,2074,2208,1964,1747,1717,1630,1629,1850,2044,1648,1180,983,"W","W","W","W","W","W","W","W","W","W","W","W",1465,1438,"W",1686,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Pacific Contiguous : electric utility","thousand tons","ELEC.STOCKS.COL-PCC-1.M",735,727,727,633,814,957,978,1007,1054,1033,1044,1000,1030,1085,1076,1054,1054,1099,1135,1031,947,898,881,705,622,581,547,522,510,638,617,521,454,359,333,361,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Pacific Contiguous : independent power producers","thousand tons","ELEC.STOCKS.COL-PCC-94.M",480,485,597,937,1202,1274,1239,1344,1180,1000,895,593,441,503,506,562,937,1233,1037,994,1167,1176,1326,1260,1125,1137,1083,1107,1341,1407,1031,659,529,599,489,447,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Pacific Noncontiguous",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Noncontiguous : electric power","thousand tons","ELEC.STOCKS.COL-PCN-98.M","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",124,123,121,134,134,82,146,131,149,156,165,190,192,188,248,258,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",213,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Pacific Noncontiguous : electric utility","thousand tons","ELEC.STOCKS.COL-PCN-1.M",0,0,0,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,11,22,34,46,58,69,81,91,102,114,125,138,151,162,173,187,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pacific Noncontiguous : independent power producers","thousand tons","ELEC.STOCKS.COL-PCN-94.M",35,96,92,94,76,72,59,125,125,123,58,123,128,134,124,126,127,124,123,121,123,113,48,100,"NM",80,76,74,87,78,63,"NM","NM",93,85,68,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
