"Fossil-fuel stocks for electricity generation for coal"
"https://www.eia.gov/electricity/data/browser/#/topic/11?agg=1,0,2&fuel=8&geo=vvg&sec=80o&linechart=ELEC.STOCKS.COL-US-98.M&columnchart=ELEC.STOCKS.COL-US-98.M&map=ELEC.STOCKS.COL-US-98.M&freq=M&start=200801&end=202007&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin="
"Mon Sep 28 2020 01:55:37 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020"
"Middle Atlantic : electric power","thousand tons","ELEC.STOCKS.COL-MAT-98.M",4952,4478,4527,5628,6922,7090,6049,6102,6263,6819,7165,7155,6833,7315,8115,8568,8998,8746,7887,7228,7655,7503,7954,6898,8403,7490,8242,9218,9569,8573,7292,6862,6964,7738,8106,6833,6009,6073,7082,7679,7888,7313,5932,5570,5735,6651,7383,7800,7850,8848,9003,9457,9337,9032,7133,6693,6728,7195,7725,7553,7181,6768,6468,6532,7009,6772,5367,5385,5613,6053,6629,5973,5493,4589,4551,5124,5711,5874,5714,6188,7010,7672,7650,8079,7562,6615,6237,6792,7276,7546,7323,7232,7328,7901,8160,7914,7151,6936,7043,"W","W","W",5329,4936,4547,4751,4898,4526,4700,4876,4755,4636,4465,4467,3865,4061,"W",4648,4256,3876,3201,3212,3398,3125,3373,3329,2682,2425,2672,3258,3506,3511,3267,3289,3534,3751,4491,4673,4202,4361,4238,4513,4542,4627,4852,5015,4941,4457,3970,3682,3410
"Middle Atlantic : electric utility","thousand tons","ELEC.STOCKS.COL-MAT-1.M",63,42,16,12,28,36,38,48,60,71,84,93,10,9,10,10,14,15,19,20,24,22,20,12,2024,1671,1765,1889,"NM","NM","NM","NM","NM",1334,1352,1221,"W","W","W","W","W","W","W","W","W","W","W","W","W",0,0,"W","W","W","W","W","W","W","W","W","W",0,"W","W","W",0,"W","W","W","W","W",0,"W","W","W","W","W","W","W","W","W","W","W","W","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","W","W","W","W","W","W","W","W","W","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W","W","W","W","W"
"Middle Atlantic : independent power producers","thousand tons","ELEC.STOCKS.COL-MAT-94.M",4889,4436,4511,5616,6894,7055,6011,6053,6203,6747,7081,7062,6823,7306,8105,8558,8984,8731,7868,7208,7631,7481,7934,6886,6379,5820,6477,7329,7698,6939,5983,5563,5703,6403,6754,5613,"W","W","W","W","W","W","W","W","W","W","W","W","W",8848,9003,"W","W","W","W","W","W","W","W","W","W",6768,"W","W","W",6772,"W","W","W","W","W",5973,"W","W","W","W","W","W","W","W","W","W","W","W","W",6615,6237,6792,7276,7546,7323,7232,7328,7901,8160,7914,7151,6936,7043,"W","W","W",5329,4936,4547,4751,4898,4526,4700,4876,4755,4636,4465,4467,3865,"W","W","W","W","W","W","W","W","W","W","W","W","W",2672,3258,3506,3511,3267,3289,3534,3751,4491,4673,4202,4361,4238,4513,4542,4627,4852,5015,"W","W","W","W","W"
"East North Central",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East North Central : electric power","thousand tons","ELEC.STOCKS.COL-ENC-98.M",35033,33122,33308,34209,36254,33729,31841,31310,33897,37286,40081,38885,35911,35267,37579,39096,41240,42138,42797,42270,43032,43772,44773,40917,37914,35935,36900,39794,40833,39086,38469,36581,37991,40372,42115,41068,38779,35561,34954,35987,36270,34754,31026,29765,31326,33216,35356,37262,38733,39553,41708,42012,42334,41563,38201,36221,38588,39108,38925,36139,33547,31549,30137,29855,31638,31805,30092,30076,29619,30046,30352,28279,23552,20690,20502,23526,27183,27100,26132,25383,26314,29859,31543,33839,34232,31766,31951,34439,36470,35850,34076,33915,35004,38433,41305,43926,41421,40483,40707,40957,41579,39827,37273,35133,34677,35632,36899,35636,33379,32978,32536,32691,32934,32374,29332,28829,"W",29797,30136,28906,24513,22993,23457,24153,24946,23618,21728,20767,19710,20957,21112,21289,19380,17879,16464,19683,22900,24524,22952,23928,24148,26475,27339,28372,29113,30107,31654,33503,34610,33770,31836
"East North Central : electric utility","thousand tons","ELEC.STOCKS.COL-ENC-1.M",24205,22826,22818,23517,24999,23801,22206,21539,23124,25635,27723,26608,25302,24268,26007,27865,30163,31336,32219,32046,32818,34051,34866,31654,29367,27714,28103,30400,31073,30255,30872,29174,30027,31671,32679,32160,30067,27290,26220,27042,27490,26556,23868,22771,23600,24948,26732,27316,27771,29215,30912,30926,31915,30588,27818,25913,27592,28133,28505,27069,24933,24151,23275,23516,24729,25171,23784,23561,23211,23654,23785,22076,16843,14803,14630,16255,18293,18099,17631,17124,17630,19951,21620,23394,22020,20761,20992,22085,23503,23942,23152,23135,23723,25686,27419,27729,25781,24584,24002,24636,24873,24329,23132,22184,22291,22909,23288,22656,20701,20053,19701,20079,20507,20848,19007,18870,"W",19490,20078,19532,16489,15635,16056,16018,16766,15954,14711,14183,13628,14190,14063,"W","W",12109,10844,12665,14389,15367,14736,15428,15597,16995,17849,18355,18622,19228,19616,20615,21282,20601,19932
"East North Central : independent power producers","thousand tons","ELEC.STOCKS.COL-ENC-94.M",10828,10297,10489,10692,11255,9929,9635,9771,10773,11652,12358,12277,10609,10999,11573,11231,11077,10802,10578,10224,10214,9721,9906,9263,8547,8221,8797,9393,9760,8831,7597,7407,7964,8701,9437,8908,8712,8271,8734,8945,8780,8198,7158,6994,7726,8268,8624,9946,10962,10338,10796,11086,10419,10974,10383,10308,10996,10975,10421,9070,8614,7398,6862,6340,6909,6634,6308,6515,6408,6392,6567,6203,6709,5887,5872,7271,8891,9001,8501,8259,8685,9908,9923,10446,12212,11004,10959,12355,12967,11909,10924,10781,11281,12747,13886,16198,15640,15898,16704,16320,16705,15498,14141,12950,12386,12723,13610,12980,12678,12925,12835,12612,12427,11526,10326,9959,"W",10307,10058,9374,8024,7358,7402,8135,8180,7665,7017,6584,6082,6766,7049,"W","W",5770,5620,7018,8511,9157,8216,8501,8551,9479,9490,10017,10491,10879,12038,12888,13328,13170,11903
"West North Central",,"ELEC.STOCKS..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West North Central : electric power","thousand tons","ELEC.STOCKS.COL-WNC-98.M",26140,25985,27011,27884,28550,28062,26906,26515,27175,28250,29507,29305,28562,28860,29064,29882,30797,30162,30083,29985,30718,30224,30281,28331,26390,25885,26800,27543,28053,27125,25724,24602,25739,27588,28670,28034,25614,25237,26220,27384,27350,26237,23557,22289,23615,25297,27123,28544,29866,30395,31527,32106,32187,31730,30641,30862,31243,31403,31559,30554,29900,29320,28978,28544,28764,27947,26412,25059,25350,24502,25000,22930,21778,20651,20836,22020,22888,21296,19612,17603,18058,19513,20147,20648,21515,21430,23203,25495,26927,26071,24864,25020,26172,28160,30205,31675,30604,30775,31527,32303,32501,31693,30183,29444,29719,31151,32387,31091,29944,30892,31148,31093,30227,29262,27501,26299,"W",27497,28380,28193,26853,26098,26391,25216,24514,23699,21874,20619,20678,21941,21568,21125,19088,17285,15689,18277,20052,19494,18048,17735,19095,21381,21911,22554,23430,24434,26040,27056,27796,27765,25957
"West North Central : electric utility","thousand tons","ELEC.STOCKS.COL-WNC-1.M",26140,25985,27011,27884,28550,28062,26906,26515,27175,28249,29505,29305,28562,28860,29063,29882,30797,30161,30081,29982,30714,30220,30275,28327,26390,25885,26800,27543,28053,27125,25724,24602,25739,27588,28670,28034,25614,25237,26220,27384,27350,26237,23557,22289,23615,25297,27123,28544,29866,30395,31527,32106,32187,31730,30641,30862,31243,31403,31559,30554,29900,29320,28978,28544,"W",27947,26412,25059,25350,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W",29944,30892,31148,31093,30227,29262,27501,26299,"W",27497,28380,28193,26853,26098,26391,25216,24514,23699,21874,20619,20678,21941,21568,21125,19088,17285,15689,18277,20052,19494,18048,17735,19095,21381,21911,22554,23430,24434,26040,27056,27796,27765,25957
